"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"4294","Normal/Others","WS/MP015/2024-2025/134067-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in Thendral Nagar, Rengarajapuram,Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","995432","Physical Inspection"
"4295","Normal/Others","WS/MP015/2024-2025/134068-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Govt Primary School Road in Rengarajapuram,Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994756","Physical Inspection"
"4296","Normal/Others","WS/MP015/2024-2025/134069-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Sivan Kovil Backside in Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994317","Physical Inspection"
"4297","Normal/Others","WS/MP015/2024-2025/134070-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 1st Street in Mani Nagar, Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994608","Physical Inspection"
"4298","Normal/Others","WS/MP015/2024-2025/134071-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road North Side in Old Vishal Nagar,Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","995348","Physical Inspection"
"4299","Normal/Others","WS/MP015/2024-2025/134072-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street Sivan Kovil Backside in Podumbu Village,Madurai District.","24-Jul-2024","13-Sep-2024","994927","Physical Inspection"
"4300","Normal/Others","WS/MP015/2024-2025/134073-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road South Side in Old Vishal Nagar,Podumbu Village,Madurai District..","24-Jul-2024","13-Sep-2024","994814","Physical Inspection"
"4301","Normal/Others","WS/MP015/2024-2025/134076-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Ramajeyam Nagar in K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","996051","Physical Inspection"
"4302","Normal/Others","WS/MP015/2024-2025/134077-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 2nd Street in Kuberan Nagar in K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","994804","Physical Inspection"
"4303","Normal/Others","WS/MP015/2024-2025/134078-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in Kuberan Nagar in K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","497674","Physical Inspection"
"4304","Normal/Others","WS/MP015/2024-2025/134079-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at New AD Colony in Solampatti, K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","995505","Physical Inspection"
"4305","Normal/Others","WS/MP015/2024-2025/134080-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in New AD Colony,Solampatti, K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","497754","Physical Inspection"
"4306","Normal/Others","WS/MP015/2024-2025/134081-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Pattalamman Kovil road North Side in Solampatti, K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","996050","Physical Inspection"
"4307","Normal/Others","WS/MP015/2024-2025/134082-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in Pattalamman Kovil,Solampatti, K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","995550","Physical Inspection"
"4308","Normal/Others","WS/MP015/2024-2025/134083-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Shri Alagar Andal Mandapam Back Side Street, Kallikudi Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","995796","Physical Inspection"
"4309","Normal/Others","WS/MP015/2024-2025/134084-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 1st Cross Street in Surya Nagar, Kallikudi Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","993748","Physical Inspection"
"4310","Normal/Others","WS/MP015/2024-2025/134085-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 2nd Cross Street in Surya Nagar, Kallikudi Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","994177","Physical Inspection"
"4311","Normal/Others","WS/MP015/2024-2025/134086-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Pattalamman Kovil road South Side in Solampatti, K.Vellakulam Village, Madurai District. ( Sc Area )","24-Jul-2024","13-Sep-2024","996004","Physical Inspection"
"4312","Normal/Others","WS/MP139/2024-2025/134087-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","1. 	Mahindra-Bolero Maxx Pik up – 1.3 VX Load carrier without closed container for transportation of medicines by the Government Hospitals in Puducherry 2.	Fabrication work for fixing closed container in the vehicle to carry medicines safely.","24-Jul-2024","28-Oct-2024","3065361","Physical Inspection"
"4313","Normal/Others","WS/MP147/2024-2025/134090-Construction of buildings for sports facilities","Rajasthan","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of sports complex in Jai Meenesh Tribal University, Ranpur Kota.","24-Jul-2024","24-Oct-2024","2500000","Physical Inspection"
"4314","Normal/Others","WS/MP084/2024-2025/134112-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Mayasandra Village, Mayasandra Gram Panchayat, Turuvekere Taluk, Tumakuru District.","24-Jul-2024","17-Dec-2024","500000","Work Completed"
"4315","Normal/Others","WS/MP084/2024-2025/134113-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Jadiya Village,Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","24-Jul-2024","17-Dec-2024","500000","Physical Inspection"
"4316","Normal/Others","WS/MP084/2024-2025/134114-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Honakere Village,Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","24-Jul-2024","17-Dec-2024","500000","Work Completed"
"4317","Normal/Others","WS/MP18304/2024-2025/134151-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Pucca path from Chalang to Shamshan Ghat GP Chil Bangla Dev. Block Chamba","25-Jul-2024","16-Sep-2024","400000","Vendor Identification"
"4318","Normal/Others","WS/MP18304/2024-2025/134154-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Jeep Road from Khalotu to Bairi GP Chil Bangla Dev. Block Chamba","25-Jul-2024","18-Sep-2024","400000","Vendor Identification"
"4319","Normal/Others","WS/MP839/2024-2025/134187-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","supply and installation of led light as pes enclosed list","25-Jul-2024","17-Aug-2024","19925990","Physical Inspection"
"4320","Normal/Others","WS/MP166/2026-2027/134188-Construction of community centers and community halls","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of second floor of community  hall under construction at Villivakkam CITCO Nagar, Chennai District.","02-Aug-2024","25-Aug-2026","5000000","Work partially Completed"
"4321","Normal/Others","WS/MP166/2025-2026/134189-Construction of water tanks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of OHT (60000 liters) in backward street in pujangarayanallur panchayat, Perambalur District.","02-Aug-2024","18-Sep-2025","2492899","Physical Inspection"
"4322","Normal/Others","WS/MP234/2024-2025/134199-Development of playfields and sports grounds","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","Construction of Volleyball Court","05-Aug-2024","21-Nov-2024","686677","Physical Inspection"
"4323","Normal/Others","WS/MP234/2024-2025/134200-Development of playfields and sports grounds","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","Fencing and Benches","05-Aug-2024","21-Nov-2024","681701","Physical Inspection"
"4324","Normal/Others","WS/MP18304/2024-2025/134201-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca path Vill. Hadotha GP Bhanauta Dev. Block Chamba","26-Jul-2024","16-Sep-2024","300000","Vendor Identification"
"4325","Normal/Others","WS/MP18304/2024-2025/134202-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of ambulance road soling conc. With drain main road say PHC chaned  GP Bhanota Dev. Block Chamba.","26-Jul-2024","16-Sep-2024","400000","Vendor Identification"
"4326","Normal/Others","WS/MP18304/2024-2025/134206-Purchase of hospital equipment","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Physiotherapy centre for Senior Citizens at Ramgarhia Sabha Complex","26-Jul-2024","14-Jan-2025","500000","Work partially Completed"
"4327","Normal/Others","WS/MP18304/2024-2025/134209-Construction of boundary walls of existing public and community buildings","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of  security wall in GP Cheli  Block Drang at Padhar, Mandi (HP)","26-Jul-2024","21-Aug-2024","200000","Physical Inspection"
"4328","Normal/Others","WS/MP18304/2024-2025/134210-Development of public parks","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Park in GP Cheli  Block Drang at Padhar, Mandi (HP)","26-Jul-2024","21-Aug-2024","200000","Physical Inspection"
"4329","Normal/Others","WS/MP108/2024-2025/134252-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","500 Meter Road construction cricket academy to Parnkshetra Dal mill.","29-Jul-2024","19-Aug-2024","1000000","Work Completed"
"4330","Normal/Others","WS/MP108/2024-2025/134253-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of link roads from main road of talegaon To Storage centre of Parnkshetra FPC.","29-Jul-2024","19-Aug-2024","1000000","Work Completed"
"4331","Normal/Others","WS/MP18304/2024-2025/134255-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road  Dispensary to Kariyal Basti GP Drug","27-Jul-2024","20-Jan-2025","399999","Physical Inspection"
"4332","Normal/Others","WS/MP18304/2024-2025/134277-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road, Souling & Boundary Wall Out Dalog link road GP Nehol","27-Jul-2024","04-Dec-2024","500000","Work Completed"
"4333","Normal/Others","WS/MP18294/2024-2025/134390-Installing tube-wells and borewells","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Pathari me Bhojraj Gaundharya ke niwas ke pas 1 borewell.","29-Jul-2024","27-Feb-2025","130000","Sanction"
"4334","Normal/Others","WS/MP18294/2024-2025/134391-Installing tube-wells and borewells","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Menghatola me Surendra Waghmare ke niwas ke pas 1 borewell.","29-Jul-2024","27-Feb-2025","130000","Sanction"
"4335","Normal/Others","WS/MP18294/2024-2025/134392-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Sejgaon, Ta. Tiroda, Dist. Gondia me Maa Gaytri Mandir ke samne Sabhagruh Bandhkam.","29-Jul-2024","02-Dec-2024","500000","Physical Inspection"
"4336","Normal/Others","WS/MP18294/2024-2025/134393-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kudwa ke Mokshdham me Dahan Shade Bandhkam.","29-Jul-2024","02-Dec-2024","499980","Physical Inspection"
"4337","Normal/Others","WS/MP18294/2024-2025/134394-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kudwa ke Mokshdham me Shok Sabhagruh Bandhkam.","29-Jul-2024","02-Dec-2024","499970","Physical Inspection"
"4338","Normal/Others","WS/MP18334/2024-2025/134420-Installing community drinking water plants","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing New Filter Point, SP Set and Pumping Main at Tallapaka H/o. Tallapaka GP of Rajampeta Mandal","30-Jul-2024","12-Sep-2024","2416479","Physical Inspection"
