"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"285","Normal/Others","WS/MP761/2024-2025/148179-Construction of public toilets and bathrooms","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Public Toilets and bathrooms near Venkateshwara temple","Arvind Dharmapuri","NIZAMABAD","N/A","19-Oct-2024","399004"
"286","Normal/Others","WS/MP761/2024-2025/148184-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall in Gangaputra wada","Arvind Dharmapuri","NIZAMABAD","N/A","19-Oct-2024","348178"
"287","Normal/Others","WS/MP761/2024-2025/148187-Street lights","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing 2 Himast lights near Maddul Laxmi Narsimha swamy temple","Arvind Dharmapuri","NIZAMABAD","N/A","21-Oct-2024","288856"
"288","Normal/Others","WS/MP761/2024-2025/148189-Street lights","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing Himast light near Yellamma temple, Dubbaka","Arvind Dharmapuri","NIZAMABAD","N/A","28-Oct-2024","144072"
"289","Normal/Others","WS/MP761/2024-2025/146279-Providing drains and gutters for public drainage","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Laying of CC Drains in Agriculture Market","Arvind Dharmapuri","NIZAMABAD","Images","19-Oct-2024","445245"
"290","Normal/Others","WS/MP761/2024-2025/146295-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Mudiraj Jangiti wada","Arvind Dharmapuri","NIZAMABAD","Images","19-Oct-2024","268220"
"291","Normal/Others","WS/MP761/2024-2025/146297-Setting up of electric vehicle charging stations","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Yadava wada in Sattakkapally Village","Arvind Dharmapuri","NIZAMABAD","Images","19-Oct-2024","268203"
"292","Normal/Others","WS/MP18278/2024-2025/142729-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","GRAM PANCHAYAT TUSMA ME C.C. ROAD NIRMARAN(JITENDRA SAHU KE GHAR SE DHANI RAM SAHU GHAR KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","28-Nov-2024","499989"
"293","Normal/Others","WS/MP761/2024-2025/146752-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall at Raithumithra Sangham at Ward No 14","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","397121"
"294","Normal/Others","WS/MP761/2024-2025/146748-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Guradikapu wada,","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","296538"
"295","Normal/Others","WS/MP18278/2024-2025/141835-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM NAWAPARA ME C.C. ROAD NIRMARAN(LABHO RAM CHAUHAN GHAR SE AAGE KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","31-Dec-2024","498533"
"296","Normal/Others","WS/MP761/2024-2025/146659-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Gangaputa Colony, Arapet 5th ward, Metpally town","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","250000"
"297","Normal/Others","WS/MP761/2024-2025/146434-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in SC Madiga Colony at Arapet 5th ward Metpally","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","249579"
"298","Normal/Others","WS/MP761/2024-2025/146622-Providing drains and gutters for public drainage","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Laying of CC drain from Sc Community hall to Library","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","493396"
"299","Normal/Others","WS/MP761/2024-2025/146758-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Artisan shed near Konda Swamy Devasthanam","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","399659"
"300","Normal/Others","WS/MP761/2024-2025/146746-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Shivaji Nagar Munnurukapu wada at Ward No 1 Metpally town","Arvind Dharmapuri","NIZAMABAD","Images","21-Oct-2024","299650"
"301","Normal/Others","WS/MP429/2024-2025/143350-Construction of buildings for community cultural activities","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Construction of Shed near Bhaina Samaj Samudayik Bhawan at Gram Panchayat - Sonbacharwar, Vikas Khand - Pendra","Jyotsna Charandas Mahant","KORBA","Images","21-Jan-2026","584210"
"302","Normal/Others","WS/MP429/2024-2025/143351-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Construction of shed near Rashan Dukan at Gram Panchayat - Ghaghra, Vikas Khand - Pendra.","Jyotsna Charandas Mahant","KORBA","Images","09-Jan-2026","398989"
"303","Normal/Others","WS/MP18313/2024-2025/147458-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","pitradev bavsi khorapada mein biradari nirman kary","RAJ KUMAR ROAT","BANSWARA(ST)","N/A","07-Jan-2026","981300"
"304","Normal/Others","WS/MP761/2024-2025/144972-Construction of boundary walls of existing public and community buildings","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Compound Wall to existing Community Hall in Soma Kshatriya Colony","Arvind Dharmapuri","NIZAMABAD","N/A","22-Oct-2024","394417"
"305","Normal/Others","WS/MP761/2024-2025/149042-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall in 2nd floor in existing community hall near Sri Gandla Pattana Sangham, Sirnapalli Gadi","Arvind Dharmapuri","NIZAMABAD","N/A","23-Oct-2024","400000"
"306","Normal/Others","WS/MP18101/2024-2025/142502-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","GRAM PANCHAYAT SHAHJAD PURA K GRAM GHANSHIYAMPURA ME SAMUDAYK BHAVN NIRMAN KARY","RAHUL SINGH LODHI","DAMOH","Images","13-Jan-2025","1000000"
"307","Normal/Others","WS/MP393/2024-2025/143061-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of (MPLADS 2021-22) Paver Block Road in Ice keni Street,Keela Street, Karaikudi Municipality","Shri Karti P Chidambaram","SIVAGANGA","N/A","23-Oct-2024","200000"
"308","Normal/Others","WS/MP761/2024-2025/145019-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Shivalayam Temple","Arvind Dharmapuri","NIZAMABAD","N/A","23-Oct-2024","495000"
"309","Normal/Others","WS/MP429/2024-2025/146726-Renovation of ponds and lakes","Chhattisgarh","KORBA(Collector-Korba)","Pachri construction (2 units) at Bhadbhad Talaab in Gram Panchayat - Parsada, VIkas Khand - Pali","Jyotsna Charandas Mahant","KORBA","Images","14-Jul-2025","600000"
"310","Normal/Others","WS/MP18152/2024-2025/141227-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Construction of Street using Interlock tiles street and Drains Nirmal Singh House to Majer Singh House","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Images","28-Mar-2025","465477"
"311","Normal/Others","WS/MP18176/2024-2025/139956-Installing tube-wells and borewells","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Installing Vellodu - Narasingapuram Government higher Secondary school - bore well (Purpose Drinking water)","SACHITHANANTHAM R","DINDIGUL","N/A","24-Oct-2024","399715"
"312","Normal/Others","WS/MP761/2024-2025/146611-Construction of common work sheds/ common covered sitting area","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Artisan Shed near Peddamma TEMPLE","Arvind Dharmapuri","NIZAMABAD","N/A","24-Oct-2024","298836"
"313","Normal/Others","WS/MP761/2024-2025/144939-Construction of boundary walls of existing public and community buildings","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Compound wall to existing Community hall in Kurma wada","Arvind Dharmapuri","NIZAMABAD","N/A","24-Oct-2024","250000"
"314","Normal/Others","WS/MP418/2024-2025/147613-Setting up of laboratories","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Purchase of  Equipment and furniture/accessories for setting up Laboratories as per enclosed list in following schools/institutions: 1 UTKARMIT  MADHYAMIK VIDYALAY , SONAMANI GODAM","Pradeep Kumar Singh","ARARIA","N/A","13-Nov-2024","2475000"
"315","Normal/Others","WS/MP18006/2024-2025/135645-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC Road in Payanagaripalli HW Village at sathayma Temple to Venkatama House and Sumati House to Tirumalaiaha House and Venkateswara Temple to Hari House, Gundlapalli GP, Irala mandal of Puthalapattu Constituency.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","25-Oct-2024","397837"
"316","Normal/Others","WS/MP18006/2024-2025/135647-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","25-Oct-2024","497766"
"317","Normal/Others","WS/MP18006/2024-2025/135646-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC Road at Hand Borewell to Sri Ramathirtha Sevashramam in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","25-Oct-2024","99809"
"318","Normal/Others","WS/MP761/2024-2025/146603-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of CC road from Bheemaraya Sangham Tarpa 45 to H.No 3-3-313","Arvind Dharmapuri","NIZAMABAD","N/A","25-Oct-2024","319034"
"319","Normal/Others","WS/MP429/2024-2025/143878-Construction of footpaths and pedestrian ways","Chhattisgarh","KORBA(Collector-Korba)","Construction of Interlocking Pavement Flooring at Primary School in Gram Purri Katra. Gram Panchayat - Kotmer, Vikas Khand - Kartala","Jyotsna Charandas Mahant","KORBA","Images","23-Dec-2024","295600"
"320","Normal/Others","WS/MP429/2024-2025/143352-Construction of footpaths and pedestrian ways","Chhattisgarh","KORBA(Collector-Korba)","Construction of Pavement at Primary School in Gram Panchayat Kotmer, Vikas Khand - Kartala.","Jyotsna Charandas Mahant","KORBA","Images","23-Dec-2024","300000"
"321","Normal/Others","WS/MP429/2024-2025/142111-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KORBA(Collector-Korba)","CC Road construction from Samund Singh ghar towards Gothan at Sajapani Gram Panchayat. Vikas Khand - Kartala","Jyotsna Charandas Mahant","KORBA","Images","23-Dec-2024","498606"
"322","Normal/Others","WS/MP429/2024-2025/141157-Construction of community centers and community halls","Chhattisgarh","KORBA(Collector-Korba)","Construction of Chhatdaar Manch in Gram Panchayat - Pahadgaon, Vikas Khand - Kartala","Jyotsna Charandas Mahant","KORBA","Images","03-Apr-2025","350000"
"323","Normal/Others","WS/MP429/2024-2025/141156-Construction of common work sheds/ common covered sitting area","Chhattisgarh","KORBA(Collector-Korba)","Construction of Chhatdaar chabutra in Gram Panchayat - Tilaidand, Vikas Khand - Korba.","Jyotsna Charandas Mahant","KORBA","Images","19-Nov-2025","400000"
"324","Normal/Others","WS/MP429/2024-2025/144851-Renovation of ponds and lakes","Chhattisgarh","KORBA(Collector-Korba)","Construction of Pachri at Gadhiya Talab in Gram Panchayat - Silli, Vikas Khand - Pali","Jyotsna Charandas Mahant","KORBA","Images","14-Jul-2025","299681"
"325","Normal/Others","WS/MP429/2024-2025/144849-Renovation of ponds and lakes","Chhattisgarh","KORBA(Collector-Korba)","Construction of Pachri at Budhan Talab in Gram Panchayat - Kodar, Vikas Khand - Pali.","Jyotsna Charandas Mahant","KORBA","Images","13-May-2025","299323"
"326","Normal/Others","WS/MP429/2024-2025/144850-Renovation of ponds and lakes","Chhattisgarh","KORBA(Collector-Korba)","Construction of Pachri at Gangasagar Talab in Gram Panchayat - Pulali Kala, Vikas Khand - Pali.","Jyotsna Charandas Mahant","KORBA","Images","06-Aug-2025","300000"
"327","Normal/Others","WS/MP18278/2024-2025/134665-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","CC Road- From the main road towards Muktidham.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","29-Aug-2025","881196"
"328","Normal/Others","WS/MP761/2024-2025/149044-Construction of common work sheds/ common covered sitting area","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Artisan Shed in Court Complex","Arvind Dharmapuri","NIZAMABAD","Images","26-Oct-2024","399432"
"329","Normal/Others","WS/MP761/2024-2025/149045-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Gudetikapu Colony at Arapet 5th ward Metpally","Arvind Dharmapuri","NIZAMABAD","Images","26-Oct-2024","250000"
"330","Normal/Others","WS/MP017/2024-2025/143500-Renovation of ponds and lakes","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work","S. Jagathrakshakan","ARAKKONAM","N/A","26-Oct-2024","999654"
"331","Normal/Others","WS/MP761/2024-2025/146265-Construction of boundary walls of existing public and community buildings","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of compound wall ZPHS Gundampally","Arvind Dharmapuri","NIZAMABAD","Images","26-Oct-2024","357627"
"332","Normal/Others","WS/MP761/2024-2025/149043-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community hall near Motadireddy  Sangham, Borgaon P","Arvind Dharmapuri","NIZAMABAD","N/A","28-Oct-2024","495000"
"333","Normal/Others","WS/MP18242/2024-2025/145618-Lighting of public spaces","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","As per list attached of 44 places of installation of high mast led light - 6 LED for different blocks and villages.","RAMBHUAL NISHAD","SULTANPUR","Images","21-Aug-2026","9852234"
"334","Normal/Others","WS/MP582/2024-2025/137295-Construction of footpaths and pedestrian ways","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Paver block work near Swaminarayan Temple at Vankaner Village, Taluka Bardoli, District Surat","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","N/A","25-Jun-2025","294287"
"335","Normal/Others","WS/MP18278/2024-2025/145244-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","GRAM PANCHAYAT NANDELI ME C.C. ROAD NIRMARAN(PAKKI ROAD SE NARENDRA SURYAVANSHI GHAR KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","13-Dec-2024","500000"
"336","Normal/Others","WS/MP429/2024-2025/140677-Construction of community centers and community halls","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Samudayik Bhawan Construction at Sadak Para, Gram Panchayat - Amarpur, Vikas Khand - Pedra","Jyotsna Charandas Mahant","KORBA","Images","16-Feb-2026","499839"
"337","Normal/Others","WS/MP429/2024-2025/140687-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Shed construction in Gram Panchayat - Latkoni, Janpad - Pendra","Jyotsna Charandas Mahant","KORBA","Images","06-Nov-2025","199651"
"338","Normal/Others","WS/MP418/2024-2025/147612-Setting up of laboratories","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Purchase of  Equipment and furniture/accessories for setting up Laboratories as per enclosed list in following schools/institutions: 1 UCHCH MADHYAMIK VIDYALYA, RAMPUR MOHANPUR WEST","Pradeep Kumar Singh","ARARIA","N/A","13-Nov-2024","2475000"
"339","Normal/Others","WS/MP418/2024-2025/147611-Setting up of laboratories","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Purchase of Equipment and furniture/accessories for setting up Laboratories as per enclosed list in following schools/institutions: 1 +2 RAJKIYAKRIT HIGH SCHOOL KUARI","Pradeep Kumar Singh","ARARIA","N/A","13-Nov-2024","2475000"
"340","Normal/Others","WS/MP761/2024-2025/146482-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of community hall in Munnurukapu Colony","Arvind Dharmapuri","NIZAMABAD","Images","29-Oct-2024","399973"
"341","Normal/Others","WS/MP829/2024-2025/141023-Lighting of public spaces","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Installation of High Mast Light at Ajodhya Mandirtala,( Electicity to be provided by Shyampur II Panchayat Samity )","Smt Sajda Ahmed","ULUBERIA","Images","22-Jan-2025","149712"
"342","Normal/Others","WS/MP829/2024-2025/141025-Lighting of public spaces","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Installation of High Mast Light at Bardabar Kisan Mandi , Electicity to be provided by Shyampur II Panchayat Samity","Smt Sajda Ahmed","ULUBERIA","Images","22-Jan-2025","149712"
"343","Normal/Others","WS/MP829/2024-2025/141466-Installing tube-wells and borewells","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Sinking of Tubewell at Jhumjhumi Hospital","Smt Sajda Ahmed","ULUBERIA","Images","17-Dec-2024","129039"
"344","Normal/Others","WS/MP829/2024-2025/141465-Lighting of public spaces","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Installation of High Mast Light at Nawripara Bridge ( electricity to be provided by Shyampur II Panchayat Samity )","Smt Sajda Ahmed","ULUBERIA","Images","31-Jan-2025","149712"
